artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.445,0.337,5,-8.485,1,0.0281,0.412,6.34e-6,0.126,0.381,75.041,3D9TYPbNo1nnTwE4eLKxnJ,https://api.spotify.com/v1/audio-analysis/3D9TYPbNo1nnTwE4eLKxnJ,3,,,1,309160,FALSE,https://api.spotify.com/v1/tracks/3D9TYPbNo1nnTwE4eLKxnJ,FALSE,I Still Have Faith In You,NA,1,track,spotify:track:3D9TYPbNo1nnTwE4eLKxnJ,https://open.spotify.com/track/3D9TYPbNo1nnTwE4eLKxnJ,Voyage,F,major,F major
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.477,0.687,2,-6.469,1,0.0295,0.385,0.00394,0.403,0.724,88.001,46OKHucGhjhskazqD8tKnH,https://api.spotify.com/v1/audio-analysis/46OKHucGhjhskazqD8tKnH,4,,,1,170333,FALSE,https://api.spotify.com/v1/tracks/46OKHucGhjhskazqD8tKnH,FALSE,When You Danced With Me,NA,2,track,spotify:track:46OKHucGhjhskazqD8tKnH,https://open.spotify.com/track/46OKHucGhjhskazqD8tKnH,Voyage,D,major,D major
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.647,0.165,10,-16.328,1,0.0315,0.894,0.00187,0.116,0.59,75.978,1vLPyotXnRlM2EJIHK16LW,https://api.spotify.com/v1/audio-analysis/1vLPyotXnRlM2EJIHK16LW,4,,,1,188320,FALSE,https://api.spotify.com/v1/tracks/1vLPyotXnRlM2EJIHK16LW,FALSE,Little Things,NA,3,track,spotify:track:1vLPyotXnRlM2EJIHK16LW,https://open.spotify.com/track/1vLPyotXnRlM2EJIHK16LW,Voyage,A#,major,A# major
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.727,0.575,0,-8.247,1,0.0286,0.105,0,0.113,0.55,99.991,3ARUWZ4hryYXhp6X7KHcaD,https://api.spotify.com/v1/audio-analysis/3ARUWZ4hryYXhp6X7KHcaD,4,,,1,236293,FALSE,https://api.spotify.com/v1/tracks/3ARUWZ4hryYXhp6X7KHcaD,FALSE,Don't Shut Me Down,NA,4,track,spotify:track:3ARUWZ4hryYXhp6X7KHcaD,https://open.spotify.com/track/3ARUWZ4hryYXhp6X7KHcaD,Voyage,C,major,C major
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.584,0.795,0,-5.705,1,0.0287,0.259,3.61e-4,0.302,0.83,131.997,3ZqqHOM10rD7y3G6bxDXTv,https://api.spotify.com/v1/audio-analysis/3ZqqHOM10rD7y3G6bxDXTv,4,,,1,211933,FALSE,https://api.spotify.com/v1/tracks/3ZqqHOM10rD7y3G6bxDXTv,FALSE,Just A Notion,NA,5,track,spotify:track:3ZqqHOM10rD7y3G6bxDXTv,https://open.spotify.com/track/3ZqqHOM10rD7y3G6bxDXTv,Voyage,C,major,C major
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.588,0.358,10,-11.302,1,0.0337,0.837,0,0.106,0.366,133.932,2JNzo5lIfJNFXV1ttcLD7r,https://api.spotify.com/v1/audio-analysis/2JNzo5lIfJNFXV1ttcLD7r,4,,,1,241893,FALSE,https://api.spotify.com/v1/tracks/2JNzo5lIfJNFXV1ttcLD7r,FALSE,I Can Be That Woman,NA,6,track,spotify:track:2JNzo5lIfJNFXV1ttcLD7r,https://open.spotify.com/track/2JNzo5lIfJNFXV1ttcLD7r,Voyage,A#,major,A# major
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.67,0.591,2,-8.385,0,0.0266,0.728,4.84e-4,0.134,0.407,115.977,1OC16r1BdQO6hK2iqmvwXF,https://api.spotify.com/v1/audio-analysis/1OC16r1BdQO6hK2iqmvwXF,4,,,1,245053,FALSE,https://api.spotify.com/v1/tracks/1OC16r1BdQO6hK2iqmvwXF,FALSE,Keep An Eye On Dan,NA,7,track,spotify:track:1OC16r1BdQO6hK2iqmvwXF,https://open.spotify.com/track/1OC16r1BdQO6hK2iqmvwXF,Voyage,D,minor,D minor
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.455,0.271,10,-11.129,1,0.0295,0.722,1.38e-4,0.31,0.227,135.016,4dmSIn2DxtfX1rySnUDamj,https://api.spotify.com/v1/audio-analysis/4dmSIn2DxtfX1rySnUDamj,3,,,1,237466,FALSE,https://api.spotify.com/v1/tracks/4dmSIn2DxtfX1rySnUDamj,FALSE,Bumblebee,NA,8,track,spotify:track:4dmSIn2DxtfX1rySnUDamj,https://open.spotify.com/track/4dmSIn2DxtfX1rySnUDamj,Voyage,A#,major,A# major
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.615,0.707,2,-5.909,1,0.0288,0.2,0,0.0729,0.795,149.981,293qCzqLqTYoqAkv1gqkdR,https://api.spotify.com/v1/audio-analysis/293qCzqLqTYoqAkv1gqkdR,4,,,1,176573,FALSE,https://api.spotify.com/v1/tracks/293qCzqLqTYoqAkv1gqkdR,FALSE,No Doubt About It,NA,9,track,spotify:track:293qCzqLqTYoqAkv1gqkdR,https://open.spotify.com/track/293qCzqLqTYoqAkv1gqkdR,Voyage,D,major,D major
ABBA,0LcJLqbBmaGUft1e9Mm8HV,0uUtGVj0y9FjfKful7cABY,album,,2021-11-05,2021,day,0.354,0.245,4,-13.671,1,0.0288,0.879,0.734,0.107,0.213,75.041,5OfCD9LJbl7jitYVThliKk,https://api.spotify.com/v1/audio-analysis/5OfCD9LJbl7jitYVThliKk,4,,,1,212160,FALSE,https://api.spotify.com/v1/tracks/5OfCD9LJbl7jitYVThliKk,FALSE,Ode To Freedom,NA,10,track,spotify:track:5OfCD9LJbl7jitYVThliKk,https://open.spotify.com/track/5OfCD9LJbl7jitYVThliKk,Voyage,E,major,E major
